# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
86
0 -1 EULER_XYZ mixamorig:Hips
1 0 EULER_XYZ mixamorig:Spine
2 1 EULER_XYZ mixamorig:Spine1
3 2 EULER_XYZ mixamorig:Spine2
4 3 EULER_XYZ mixamorig:Neck
5 4 EULER_XYZ mixamorig:Head
6 5 EULER_XYZ mixamorig:HeadTop_End
7 6 EULER_XYZ mixamorig:HeadTop_End1
8 5 EULER_XYZ mixamorig:Hair_Back
9 3 EULER_XYZ mixamorig:LeftShoulder
10 9 EULER_XYZ mixamorig:LeftArm
11 10 EULER_XYZ mixamorig:LeftForeArm
12 11 EULER_XYZ mixamorig:LeftHand
13 12 EULER_XYZ mixamorig:LeftHandThumb1
14 13 EULER_XYZ mixamorig:LeftHandThumb2
15 14 EULER_XYZ mixamorig:LeftHandThumb3
16 15 EULER_XYZ mixamorig:LeftHandThumb4
17 12 EULER_XYZ mixamorig:LeftHandIndex1
18 17 EULER_XYZ mixamorig:LeftHandIndex2
19 18 EULER_XYZ mixamorig:LeftHandIndex3
20 19 EULER_XYZ mixamorig:LeftHandIndex4
21 12 EULER_XYZ mixamorig:LeftHandMiddle1
22 21 EULER_XYZ mixamorig:LeftHandMiddle2
23 22 EULER_XYZ mixamorig:LeftHandMiddle3
24 23 EULER_XYZ mixamorig:LeftHandMiddle4
25 12 EULER_XYZ mixamorig:LeftHandRing1
26 25 EULER_XYZ mixamorig:LeftHandRing2
27 26 EULER_XYZ mixamorig:LeftHandRing3
28 27 EULER_XYZ mixamorig:LeftHandRing4
29 12 EULER_XYZ mixamorig:LeftHandPinky1
30 29 EULER_XYZ mixamorig:LeftHandPinky2
31 30 EULER_XYZ mixamorig:LeftHandPinky3
32 31 EULER_XYZ mixamorig:LeftHandPinky4
33 11 EULER_XYZ mixamorig:Left_CapeC
34 33 EULER_XYZ mixamorig:Left_CapeC1
35 10 EULER_XYZ mixamorig:Left_CapeB
36 35 EULER_XYZ mixamorig:Left_CapeB1
37 10 EULER_XYZ mixamorig:Left_CapeA
38 37 EULER_XYZ mixamorig:Left_CapeA1
39 3 EULER_XYZ mixamorig:RightShoulder
40 39 EULER_XYZ mixamorig:RightArm
41 40 EULER_XYZ mixamorig:RightForeArm
42 41 EULER_XYZ mixamorig:RightHand
43 42 EULER_XYZ mixamorig:RightHandThumb1
44 43 EULER_XYZ mixamorig:RightHandThumb2
45 44 EULER_XYZ mixamorig:RightHandThumb3
46 45 EULER_XYZ mixamorig:RightHandThumb4
47 42 EULER_XYZ mixamorig:RightHandIndex1
48 47 EULER_XYZ mixamorig:RightHandIndex2
49 48 EULER_XYZ mixamorig:RightHandIndex3
50 49 EULER_XYZ mixamorig:RightHandIndex4
51 42 EULER_XYZ mixamorig:RightHandMiddle1
52 51 EULER_XYZ mixamorig:RightHandMiddle2
53 52 EULER_XYZ mixamorig:RightHandMiddle3
54 53 EULER_XYZ mixamorig:RightHandMiddle4
55 42 EULER_XYZ mixamorig:RightHandRing1
56 55 EULER_XYZ mixamorig:RightHandRing2
57 56 EULER_XYZ mixamorig:RightHandRing3
58 57 EULER_XYZ mixamorig:RightHandRing4
59 42 EULER_XYZ mixamorig:RightHandPinky1
60 59 EULER_XYZ mixamorig:RightHandPinky2
61 60 EULER_XYZ mixamorig:RightHandPinky3
62 61 EULER_XYZ mixamorig:RightHandPinky4
63 41 EULER_XYZ mixamorig:Right_CapeC
64 63 EULER_XYZ mixamorig:Right_CapeC1
65 40 EULER_XYZ mixamorig:Right_CapeB
66 65 EULER_XYZ mixamorig:Right_CapeB1
67 40 EULER_XYZ mixamorig:Right_CapeA
68 67 EULER_XYZ mixamorig:Right_CapeA1
69 3 EULER_XYZ mixamorig:Right_Peck
70 3 EULER_XYZ mixamorig:Left_Peck
71 3 EULER_XYZ mixamorig:Left_Collar
72 71 EULER_XYZ mixamorig:Left_Collar1
73 3 EULER_XYZ mixamorig:Right_Collar
74 73 EULER_XYZ mixamorig:Right_Collar1
75 1 EULER_XYZ mixamorig:Belly
76 0 EULER_XYZ mixamorig:LeftUpLeg
77 76 EULER_XYZ mixamorig:LeftLeg
78 77 EULER_XYZ mixamorig:LeftFoot
79 78 EULER_XYZ mixamorig:LeftToeBase
80 79 EULER_XYZ mixamorig:LeftToe_End
81 0 EULER_XYZ mixamorig:RightUpLeg
82 81 EULER_XYZ mixamorig:RightLeg
83 82 EULER_XYZ mixamorig:RightFoot
84 83 EULER_XYZ mixamorig:RightToeBase
85 84 EULER_XYZ mixamorig:RightToe_End
